date,subway,COVID-19,COVID-19 KOR
2019-01-01,6813453,0,0
2019-01-02,15214002,0,0
2019-01-03,15716213,0,0
2019-01-04,16509281,0,0
2019-01-05,12092335,0,0
2019-01-06,8789266,0,0
2019-01-07,15619172,0,0
2019-01-08,15793382,0,0
2019-01-09,15598474,0,0
2019-01-10,15921158,0,0
2019-01-11,16673540,0,0
2019-01-12,12532124,0,0
2019-01-13,8972483,0,0
2019-01-14,15330431,0,0
2019-01-15,15623596,0,0
2019-01-16,15751775,0,0
2019-01-17,16038308,0,0
2019-01-18,16692844,0,0
2019-01-19,12484719,0,0
2019-01-20,9029923,0,0
2019-01-21,15444014,0,0
2019-01-22,15826974,0,0
2019-01-23,16038656,0,0
2019-01-24,16134269,0,0
2019-01-25,16846166,0,0
2019-01-26,12668145,0,0
2019-01-27,9242045,0,0
2019-01-28,15661418,0,0
2019-01-29,15868873,0,0
2019-01-30,16049292,0,0
2019-01-31,15770058,0,0
2019-02-01,15931852,0,0
2019-02-02,10136207,0,0
2019-02-03,6807936,0,0
2019-02-04,5862840,0,0
2019-02-05,5652814,0,0
2019-02-06,7461532,0,0
2019-02-07,14773973,0,0
2019-02-08,15795223,0,0
2019-02-09,11970486,0,0
2019-02-10,8693240,0,0
2019-02-11,15854967,0,0
2019-02-12,16135660,0,0
2019-02-13,16293762,0,0
2019-02-14,16477488,0,0
2019-02-15,17161453,0,0
2019-02-16,13202412,0,0
2019-02-17,9460714,0,0
2019-02-18,15970408,0,0
2019-02-19,16067843,0,0
2019-02-20,16421345,0,0
2019-02-21,16510787,0,0
2019-02-22,17192259,0,0
2019-02-23,13570656,0,0
2019-02-24,9937640,0,0
2019-02-25,16208846,0,0
2019-02-26,16495766,0,0
2019-02-27,16658026,0,0
2019-02-28,17129875,0,0
2019-03-01,11826597,0,0
2019-03-02,11811600,0,0
2019-03-03,9264805,0,0
2019-03-04,16373910,0,0
2019-03-05,16475288,0,0
2019-03-06,16729498,0,0
2019-03-07,17176768,0,0
2019-03-08,17949442,0,0
2019-03-09,13871273,0,0
2019-03-10,9732440,0,0
2019-03-11,16738261,0,0
2019-03-12,16752785,0,0
2019-03-13,16998477,0,0
2019-03-14,17190804,0,0
2019-03-15,17612326,0,0
2019-03-16,13603601,0,0
2019-03-17,10129963,0,0
2019-03-18,16708970,0,0
2019-03-19,17059402,0,0
2019-03-20,16759792,0,0
2019-03-21,17026710,0,0
2019-03-22,17809320,0,0
2019-03-23,13100366,0,0
2019-03-24,9887393,0,0
2019-03-25,16608432,0,0
2019-03-26,17121176,0,0
2019-03-27,17038826,0,0
2019-03-28,17188189,0,0
2019-03-29,17935133,0,0
2019-03-30,12757513,0,0
2019-03-31,9453766,0,0
2019-04-01,16495880,0,0
2019-04-02,16781979,0,0
2019-04-03,17027290,0,0
2019-04-04,17171190,0,0
2019-04-05,17853561,0,0
2019-04-06,13237878,0,0
2019-04-07,10685618,0,0
2019-04-08,16937866,0,0
2019-04-09,16805759,0,0
2019-04-10,16716349,0,0
2019-04-11,17372547,0,0
2019-04-12,17992610,0,0
2019-04-13,14423961,0,0
2019-04-14,9150118,0,0
2019-04-15,16703906,0,0
2019-04-16,17026953,0,0
2019-04-17,17162200,0,0
2019-04-18,16816356,0,0
2019-04-19,17540212,0,0
2019-04-20,13430653,0,0
2019-04-21,9548009,0,0
2019-04-22,16529047,0,0
2019-04-23,16612085,0,0
2019-04-24,16973170,0,0
2019-04-25,16814763,0,0
2019-04-26,17687051,0,0
2019-04-27,14492514,0,0
2019-04-28,10233554,0,0
2019-04-29,16940807,0,0
2019-04-30,17770462,0,0
2019-05-01,13354742,0,0
2019-05-02,17553758,0,0
2019-05-03,18425509,0,0
2019-05-04,14104871,0,0
2019-05-05,10560843,0,0
2019-05-06,10709298,0,0
2019-05-07,17069148,0,0
2019-05-08,17097938,0,0
2019-05-09,17411871,0,0
2019-05-10,18297824,0,0
2019-05-11,14254333,0,0
2019-05-12,10544313,0,0
2019-05-13,16670624,0,0
2019-05-14,17241001,0,0
2019-05-15,17653844,0,0
2019-05-16,17366233,0,0
2019-05-17,18085208,0,0
2019-05-18,13979429,0,0
2019-05-19,9298680,0,0
2019-05-20,16748745,0,0
2019-05-21,17154590,0,0
2019-05-22,17237060,0,0
2019-05-23,17276699,0,0
