date,subway,COVID-19,COVID-19 KOR
2019-01-02,15770410.0,0,0
2019-01-09,15829439.8,0,0
2019-01-16,15950783.0,0,0
2019-01-23,16109876.4,0,0
2019-01-30,15917067.333333334,0,0
2019-02-06,15639955.75,0,0
2019-02-13,16394190.8,0,0
2019-02-20,16565800.6,0,0
2019-02-27,16659274.75,0,0
2019-03-06,17069350.8,0,0
2019-03-13,17113995.8,0,0
2019-03-20,17065086.0,0,0
2019-03-27,17088001.4,0,0
2019-04-03,17159133.2,0,0
2019-04-10,17162473.0,0,0
2019-04-17,16931980.0,0,0
2019-04-24,17237250.6,0,0
2019-05-01,17682805.0,0,0
2019-05-08,17343851.6,0,0
2019-05-15,17401724.0,0,0
2019-05-22,17135649.2,0,0
2019-05-29,17093667.2,0,0
2019-06-05,16568070.75,0,0
2019-06-12,16804340.0,0,0
2019-06-19,16816647.2,0,0
2019-06-26,16479675.4,0,0
2019-07-03,16613160.8,0,0
2019-07-10,16378739.4,0,0
2019-07-17,16380062.8,0,0
2019-07-24,15627627.8,0,0
2019-07-31,15044380.6,0,0
2019-08-07,15469188.0,0,0
2019-08-14,15754024.0,0,0
2019-08-21,16319825.4,0,0
2019-08-28,16630271.6,0,0
2019-09-04,16584518.0,0,0
2019-09-11,16567939.0,0,0
2019-09-18,17212417.2,0,0
2019-09-25,17156291.0,0,0
2019-10-02,16868543.5,0,0
2019-10-09,16943530.25,0,0
2019-10-16,16914732.4,0,0
2019-10-23,17229986.4,0,0
2019-10-30,17106906.6,0,0
2019-11-06,17024017.2,0,0
2019-11-13,16721695.4,0,0
2019-11-20,16819171.4,0,0
2019-11-27,17001392.4,0,0
2019-12-04,16780317.4,0,0
2019-12-11,17032613.0,0,0
2019-12-18,17447939.2,0,0
2019-12-25,16310156.25,0,0
2020-01-01,15654681.5,0,0
2020-01-08,16198547.6,0,0
2020-01-15,16309582.2,0,1
2020-01-22,15189399.0,0,0
2020-01-29,14688267.0,6,8
2020-02-05,14009898.8,4,9
2020-02-12,14546996.0,0,2
2020-02-19,13137736.6,29,461
2020-02-26,10372522.2,37,2415
2020-03-04,10290419.0,87,1851
2020-03-11,10423681.4,55,624
2020-03-18,10693489.6,64,472
2020-03-25,10877329.2,85,498
2020-04-01,11097518.4,74,370
2020-04-08,11458510.8,27,171
2020-04-15,10569386.8,7,93
2020-04-22,12241331.6,5,49
2020-04-29,12102491.5,0,17
2020-05-06,13055297.2,32,80
2020-05-13,12499059.2,39,110
2020-05-20,13045893.6,38,99
2020-05-27,12919031.4,85,250
2020-06-03,12905326.6,88,202
2020-06-10,12928953.2,98,222
2020-06-17,13057647.8,74,214
2020-06-24,12989581.0,59,202
2020-07-01,13351914.6,45,258
2020-07-08,13234499.4,36,252
2020-07-15,13479415.4,60,231
2020-07-22,13165324.4,58,216
2020-07-29,12702703.0,29,159
2020-08-05,12963737.0,59,158
2020-08-12,13058420.75,281,459
2020-08-19,11188678.0,686,1455
2020-08-26,10195596.0,577,1615
2020-09-02,9880538.8,295,915
2020-09-09,10941628.6,224,702
2020-09-16,11941380.0,231,523
2020-09-23,12498374.2,165,437
2020-09-30,12490941.5,59,148
2020-10-07,13045720.75,77,372
2020-10-14,13367527.0,85,375
2020-10-21,13627547.6,110,572
2020-10-28,13786035.8,194,513
2020-11-04,13764042.0,206,613
2020-11-11,13802751.2,386,931
2020-11-18,12916910.8,673,1578
2020-11-25,11889150.8,946,2407
2020-12-02,11494891.6,1281,2881
2020-12-09,10625079.8,1509,3637
2020-12-16,10279606.6,2100,4946
2020-12-23,10327674.0,1827,3925
2020-12-30,10011607.0,1176,3751
2021-01-06,10997793.0,991,3369
2021-01-13,11276921.6,660,2372
2021-01-20,11692732.8,594,1936
2021-01-27,11873863.2,685,2166
2021-02-03,12428427.0,706,1879
2021-02-10,12045507.333333334,603,1244
2021-02-17,12510232.8,754,2491
2021-02-24,12927308.5,502,1566
2021-03-03,13148315.4,617,2058
2021-03-10,13190294.8,616,2165
2021-03-17,13375121.6,619,2138
2021-03-24,13449089.6,678,2176
2021-03-31,13563190.4,865,2564
2021-04-07,13270599.0,1065,3168
2021-04-14,13194319.8,1016,3183
2021-04-21,13324859.0,1060,3274
2021-04-28,13387228.6,1071,3138
2021-05-05,13375508.75,806,2072
2021-05-12,13679239.2,1133,3243
2021-05-19,13358398.5,779,2253
2021-05-26,13228314.2,1031,2810
2021-06-02,13238285.2,1020,2992
2021-06-09,13193803.6,956,2540
2021-06-16,13474835.0,965,2343
2021-06-23,13619797.8,1364,2985
2021-06-30,13585402.8,1940,3837
2021-07-07,12297445.4,2616,6052
2021-07-14,11303303.6,2645,7276
2021-07-21,11231033.4,2407,7932
2021-07-28,6677363.0,2274,7696
2021-08-04,0.0,2452,8232
2021-08-11,0.0,2438,9124
2021-08-18,0.0,2767,8930
2021-08-25,0.0,2816,8728
2021-09-01,0.0,0,7068
